zotuID,AF_T1_0,AF_T1_100,AF_T1_102,AF_T1_2,AF_T1_200,AF_T1_202,AF_T2_0,AF_T2_100,AF_T2_102,AF_T2_2,AF_T2_200,AF_T2_202,AF_T3_0,AF_T3_100,AF_T3_102,AF_T3_2,AF_T3_200,AF_T3_202,HV_T1_0,HV_T1_100,HV_T1_102,HV_T1_2,HV_T1_200,HV_T1_202,HV_T2_0,HV_T2_100,HV_T2_102,HV_T2_2,HV_T2_200,HV_T2_202,HV_T3_0,HV_T3_100,HV_T3_102,HV_T3_2,HV_T3_200,HV_T3_202,OW_T1_0,OW_T1_100,OW_T1_102,OW_T1_2,OW_T1_200,OW_T1_202,OW_T2_0,OW_T2_100,OW_T2_102,OW_T2_2,OW_T2_200,OW_T2_202,OW_T3_0,OW_T3_100,OW_T3_102,OW_T3_2,OW_T3_200,OW_T3_202,RL_T1_0,RL_T1_100,RL_T1_102,RL_T1_2,RL_T1_200,RL_T1_202,RL_T2_0,RL_T2_100,RL_T2_102,RL_T2_2,RL_T2_200,RL_T2_202,RL_T3_0,RL_T3_100,RL_T3_102,RL_T3_2,RL_T3_200,RL_T3_202
Zotu76,17,26,211,0,0,0,83,83,128,188,58,1,19,72,95,21,17,154,38,385,176,87,0,31,1930,493,54,3794,119,122,129,74,235,3010,4,0,20,3,0,6,1,2,27,0,0,38,1,2,50,0,1,109,0,0,0,0,55,16,22,76,1,79,0,11,12,12,6,1,512,2,3,191
Zotu50,11,150,10,2,1096,11,17,92,25,8,0,5,11,74,129,34,142,22,40,5,0,27,2815,65,36,6,0,72,88,39,4,1,0,70,2565,566,32,298,191,40,148,37,15,199,160,15,22,41,44,151,1477,285,53,72,53,235,95,38,8,58,56,30,438,52,8,50,83,78,162,50,19,21
Zotu57,3,3,17,1,0,0,23,403,473,2,0,0,1,54,196,207,0,3,1,14,0,0,0,0,4,225,0,3380,0,10,873,161,2,133,0,0,200,1,1,2,1447,969,0,0,3,1,1084,296,3,2,0,6,1001,189,9,0,1,113,1,1,40,0,1,21,544,127,90,0,0,34,111,478
Zotu85,53,305,72,298,2,0,226,472,452,167,20,4,310,133,216,401,274,67,239,1139,2,0,6,67,32,193,178,186,0,314,1121,1885,384,254,1,0,187,2,0,1,107,652,1,0,0,420,160,417,0,1,2,2,74,135,227,0,46,91,4,55,27,0,0,16,58,56,263,2,1,127,161,91
Zotu70,1,0,0,0,931,10,1,0,0,0,2,0,0,0,0,1,0,0,245,0,0,1,202,105,0,0,0,0,3,0,1,0,0,0,8748,12,1,0,0,1036,0,0,42,0,0,0,0,0,1098,2,1,11,0,0,0,142,0,0,8,0,1,14,44,0,0,0,0,23,0,1,1,0
Zotu93,7,2,0,5,1,0,5,0,40,9,1,0,84,0,0,9,2,0,0,285,37,0,0,1,50,925,920,944,0,214,220,2780,727,112,2,1,112,0,0,2,373,43,2,0,0,406,187,144,1,1,1,5,199,192,61,0,156,216,75,251,47,0,0,357,527,586,306,0,0,21,251,770
Zotu101,0,0,0,1,0,1,5,0,3,3,5,0,0,0,0,1,1,0,0,241,1,2,0,0,0,3,28,314,0,208,354,2573,249,4,0,1,259,1,0,1,615,1133,5,0,0,78,382,223,0,0,0,2,44,10,4,0,419,16,6,631,5,8,0,59,887,1677,21,1,832,0,405,928
Zotu90,137,72,48,3,49,182,99,36,51,336,27,53,132,15,50,62,35,23,157,650,775,336,52,134,169,1632,973,199,511,437,535,846,480,770,29,4,191,0,0,337,12,72,201,0,2,141,3,15,9,1,1,192,3,0,8,0,53,2,90,199,2,115,32,7,22,73,1,71,286,0,129,130
Zotu43,0,317,0,1,3,0,0,24,0,0,0,0,0,42,0,0,2,0,1560,3,0,620,7,1413,481,17,0,395,3,2,318,0,0,264,3398,0,0,13,186,208,0,0,13,156,336,0,0,1,1654,95,49,88,0,0,1,240,1,0,3,0,0,56,181,0,0,0,0,272,1,0,0,1
Zotu63,62,104,2,3,518,215,33,69,52,44,1,108,17,77,252,9,6,89,132,125,49,1775,689,122,135,733,29,65,351,94,394,51,6,187,3152,162,208,0,1,353,17,82,494,0,1,50,0,92,316,2,1,158,2,2,2,80,17,0,12,14,1,139,118,2,3,17,0,113,22,0,43,19
Zotu89,66,1,3,41,1,0,101,5,50,51,34,12,70,0,35,94,229,49,22,1790,78,53,1874,0,26,1191,542,403,791,127,775,2006,539,288,6,78,127,0,0,0,10,64,10,0,0,106,3,52,1,0,0,15,0,10,9,1,151,4,9,36,1,2,4,1,13,54,1,2,23,0,52,17
Zotu37,538,1,9,0,10,5,0,2,1,16,67,291,0,1,5,2,11,129,1,4,465,827,6,1,0,196,40,3,2102,8,2,7,86,3,1973,1,6,1,1,111,1,0,67,2,1,9,0,0,1622,2,2,1847,1,3,0,32,44,0,0,6,1,182,1033,0,3,0,1,134,249,0,0,1
Zotu193,26,621,407,1,0,0,428,865,238,10,0,0,73,287,214,81,0,0,128,250,21,526,0,173,134,452,11,361,0,290,398,476,33,319,0,0,165,161,111,5,343,665,2,97,126,27,147,63,2,168,150,0,67,1,94,2,2,193,127,454,76,163,1,203,97,175,92,0,437,23,78,826
Zotu118,1,1735,828,1,182,12,3,676,43,7,0,751,22,1479,1,0,3,1016,21,5,0,82,0,7,3,0,0,6,0,0,6,0,0,32,0,0,1,301,800,0,3,1,1,867,677,3,0,0,97,792,585,38,0,1,150,4,1,37,1,8,277,123,0,126,4,0,125,21,67,60,10,2
Zotu105,1,76,47,1,1,0,12,110,20,13,0,1,12,26,8,12,1,0,157,0,5,4,0,234,570,0,3,504,0,0,280,6,4,324,0,0,28,1259,1770,2,5,7,1,838,1608,50,12,4,0,961,2021,1,2,5,103,0,5,147,1,8,112,0,10,145,8,12,276,1,0,37,3,17
Zotu74,229,0,1,48,4,0,18,2,1,394,56,1,217,1,1,482,30,29,1,208,924,455,4,6,20,206,2224,2,76,98,3,244,2213,60,13,2,175,1,1,4,0,12,33,1,2,297,0,49,1,0,1,92,4,10,2,3,167,1,116,1523,0,5,1,0,206,193,1,5,55,0,489,52
Zotu177,43,85,153,0,1,1,76,249,22,491,22,2,4,14,1,65,1,1,11,73,45,0,0,31,58,70,104,160,0,373,77,76,56,871,0,1,575,0,1,500,179,172,179,0,3,44,0,2,1,1,3,12,0,1,2,0,985,7,64,1223,0,814,0,16,415,797,4,1,1462,3,292,665
Zotu109,359,421,107,4,1,0,926,502,571,65,177,0,493,248,345,268,1061,148,3,249,3,0,0,0,294,18,76,468,0,96,507,307,13,1546,0,0,118,0,0,0,116,307,7,0,0,273,144,139,1,1,1,1,25,87,149,0,1,121,24,38,42,0,0,95,117,115,140,0,1,25,71,178
Zotu54,1,0,2,0,2138,1316,0,0,0,1,1,635,0,0,1,0,0,6,4,0,0,896,2065,4,0,2,0,0,17,1,0,0,0,0,2543,402,0,2,0,15,0,0,61,1,0,1,0,0,39,0,1,39,0,0,0,683,1,0,0,0,0,1,267,0,0,0,1,215,0,0,0,1
