zotuID,AF_T1_0,AF_T1_100,AF_T1_102,AF_T1_2,AF_T1_200,AF_T1_202,AF_T2_0,AF_T2_100,AF_T2_102,AF_T2_2,AF_T2_200,AF_T2_202,AF_T3_0,AF_T3_100,AF_T3_102,AF_T3_2,AF_T3_200,AF_T3_202,HV_T1_0,HV_T1_100,HV_T1_102,HV_T1_2,HV_T1_200,HV_T1_202,HV_T2_0,HV_T2_100,HV_T2_102,HV_T2_2,HV_T2_200,HV_T2_202,HV_T3_0,HV_T3_100,HV_T3_102,HV_T3_2,HV_T3_200,HV_T3_202,OW_T1_0,OW_T1_100,OW_T1_102,OW_T1_2,OW_T1_200,OW_T1_202,OW_T2_0,OW_T2_100,OW_T2_102,OW_T2_2,OW_T2_200,OW_T2_202,OW_T3_0,OW_T3_100,OW_T3_102,OW_T3_2,OW_T3_200,OW_T3_202,RL_T1_0,RL_T1_100,RL_T1_102,RL_T1_2,RL_T1_200,RL_T1_202,RL_T2_0,RL_T2_100,RL_T2_102,RL_T2_2,RL_T2_200,RL_T2_202,RL_T3_0,RL_T3_100,RL_T3_102,RL_T3_2,RL_T3_200,RL_T3_202
Zotu38,1,2,2,0,15,6,0,0,0,0,0,2,1,6,0,1,2,3,6,0,0,0,0,8,1,0,0,0,0,0,0,0,0,3,0,1,4,1406,4853,5,2,1,1,4885,4558,3,1,3,1,5338,4276,3,33,0,13,0,1,34,1,0,34,3,1,123,0,1,7,1,0,7,1,0
Zotu36,3,1077,199,0,454,78,12,451,39,4,2,1,5,438,28,0,2,2,2299,13,16,670,1679,1031,856,143,0,861,155,19,494,1,10,597,5532,261,2,226,1019,372,3,1,143,590,870,1,0,1,228,642,818,101,2,0,11,1070,1,17,63,9,21,149,355,50,0,1,3,432,16,0,0,18
Zotu25,370,223,58,52,997,1377,36,130,108,441,251,1310,109,129,266,104,236,542,540,503,294,2169,1410,426,180,809,235,207,1850,327,519,617,157,325,788,270,196,11,12,280,16,186,953,1,1,442,5,198,657,6,8,309,8,12,1,187,324,3,202,236,4,313,130,2,13,40,2,307,365,3,168,5
Zotu34,167,46,160,2,14,738,137,15,56,61,12,661,132,97,834,130,97,179,20,2499,107,103,3870,41,20,1824,61,263,379,1871,1000,1801,119,68,3,439,1096,2,1,66,353,668,239,1,1,337,160,182,4,1,0,29,57,71,0,0,15,4,85,703,0,25,3,0,90,232,1,15,55,1,401,609
Zotu196,0,0,0,0,7,0,0,0,1,0,0,3,0,1,4,0,0,1,0,33,0,795,15655,0,0,62,0,0,2,38,0,0,0,0,0,2145,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,10,4676,3,0,1,0,5,1,0,0,1
Zotu31,21,711,386,18,198,16,405,1208,733,12,8,9,57,2767,176,17,86,31,1013,56,4,186,38,816,90,72,19,202,619,69,591,22,3,595,159,0,528,25,17,79,1296,2635,62,9,25,122,523,2239,322,15,12,25,697,421,20,99,8,45,29,815,69,45,99,62,98,93,39,24,26,31,789,421
Zotu27,355,27,7,0,570,1323,1,4,0,77,832,4363,2,4,5,31,64,4080,0,16,72,6,48,1,4,101,5,0,3046,34,0,15,38,5,73,47,10,20,124,19,2,15,460,176,88,7,2,6,855,97,153,1155,1,6,9,17,890,32,0,4,21,1098,0,12,2,3,14,27,1213,12,16,2
Zotu42,137,357,58,22,201,2368,6,1113,637,163,267,782,6,73,361,169,407,566,168,677,62,124,1609,391,88,373,89,29,717,1094,945,996,21,120,81,493,119,6,14,53,15,596,144,14,7,88,12,307,1244,6,10,292,13,20,39,142,373,28,11,11,49,172,15,11,16,59,39,11,602,53,584,7
Zotu40,569,1638,842,2,3,0,293,311,33,407,302,28,454,8,97,256,161,62,835,1208,625,297,0,280,320,975,1375,693,689,403,802,1138,1302,1050,107,0,219,5,2,272,11,14,467,1,7,449,2,3,2,6,1,117,0,1,6,0,99,13,270,383,7,101,4,38,45,116,4,5,283,3,26,239
Zotu45,192,7,0,19,6,0,2,3,0,1969,0,0,219,0,3,10578,543,1,0,2,0,0,0,1,0,0,51,2,0,1,0,5,2,10,0,0,18,4,0,0,53,1714,2,1,1,1,376,1123,1,3,1,0,11,724,3,1,122,3,0,5,2,1,0,1,42,865,9,2,0,11,1658,9
