zotuID,Domain,Phylum,Class,Order,Family,Genus
Zotu1534,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
Zotu3454,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia
Zotu4242,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781
Zotu4754,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group
Zotu5058,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_Unc
Zotu5202,Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66
Zotu5405,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),PAUC26f
Zotu5631,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_13
Zotu5641,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Unc
Zotu5702,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group
Zotu5901,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Unc
Zotu5951,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
Zotu5987,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter
Zotu6007,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadales,Bradymonadales
Zotu6104,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45
Zotu6118,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilaceae
Zotu6146,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Unc,Unc
Zotu6163,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus
Zotu6203,Bacteria,Chloroflexi,KD4-96,KD4-96,KD4-96,KD4-96
Zotu6255,Bacteria,Proteobacteria,Alphaproteobacteria,Unc,Unc,Unc
Zotu6286,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007
Zotu6336,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Membranicola
Zotu6343,Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Lutispora
Zotu6356,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Zotu6427,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia
Zotu6458,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Unc,Unc
Zotu6463,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,Unc
Zotu6579,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hoppeia
Zotu6623,Bacteria,Gemmatimonadetes,S0134_terrestrial_group,S0134_terrestrial_group,S0134_terrestrial_group,S0134_terrestrial_group
Zotu6674,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
Zotu6812,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_Unc
Zotu6822,Bacteria,Chloroflexi,OLB14,OLB14,OLB14,OLB14
Zotu6895,Bacteria,Actinobacteria,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,Egicoccus
Zotu6918,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia
Zotu7025,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Zotu7057,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast,Chloroplast
Zotu7077,Bacteria,Armatimonadetes,Unc,Unc,Unc,Unc
Zotu7191,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_Unc
Zotu7257,Bacteria,Chloroflexi,KD4-96,KD4-96,KD4-96,KD4-96
Zotu7303,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,0319-6G20
Zotu7339,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6,Subgroup_6,Subgroup_6
Zotu7356,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Zotu7531,Bacteria,Chloroflexi,KD4-96,KD4-96,KD4-96,KD4-96
Zotu7652,Bacteria,Actinobacteria,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,Egicoccus
Zotu7735,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Unc,Alphaproteobacteria_Unc,Alphaproteobacteria_Unc
Zotu7767,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Jejudonia
Zotu7850,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,67-14
Zotu7886,Bacteria,Chloroflexi,Dehalococcoidia,S085,S085,S085
Zotu7909,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas
Zotu7919,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Sporocytophaga
Zotu7953,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter
Zotu7974,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Unc
Zotu8049,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Parviterribacter
Zotu8128,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,AKYG1722,AKYG1722
Zotu8198,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Zotu8199,Bacteria,FBP,FBP,FBP,FBP,FBP
Zotu8226,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula
Zotu8227,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unc,Unc
Zotu8319,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,0319-6G20
Zotu8321,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia
Zotu8359,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_Unc,Parcubacteria_Unc,Parcubacteria_Unc
Zotu8466,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Phaselicystidaceae,Phaselicystis
Zotu8501,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Zotu8548,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Unc
Zotu8654,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
Zotu8709,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichales_Unc,Microtrichales_Unc
Zotu8739,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium
Zotu8862,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Zotu8903,Bacteria,Actinobacteria,Acidimicrobiia,Unc,Unc,Unc
